RIL,Rep,Leaf,Area,Subtotal,Max Width,Average Width,Length,Angle (degrees),distance to next leaf (inches),diameter of stem (mm),height (inches),dry weight (g)
73,4,2,370.497,30826.805,22.8,3.8,98.5,30,4,12,,
73,4,3,405.222,31232.025,24.2,3.7,109.2,27,8,14,,
73,4,4,381.551,31613.576,23.1,3.2,119.7,23,8,15,,
73,4,5,395.437,32009.012,22.6,3.4,114.6,23,7,16,,
73,4,6,399.483,32408.496,24.8,3.4,118.7,40,8,16,,
73,4,7,406.751,32815.246,24.5,3.7,111.2,47,9,16,,
73,4,8,452.657,33267.902,24.7,3.5,128.5,50,8,16,,
73,4,9,419.661,33687.562,24.9,3.4,122.9,65,9,16,,
73,4,10,473.836,34161.398,22.2,3.5,136.8,90,,,,
73,5,1,358.011,34519.41,23.4,3.4,103.8,23,3.5,10,115,98.29
73,5,2,356.993,34876.402,24.5,3.5,102.7,27,8,13,,
73,5,3,352.869,35229.273,23.5,3.4,102.8,30,10,14,,
73,5,4,353.525,35582.797,24.6,3.4,104.1,25,9,14,,
73,5,5,369.216,35952.012,25,3.6,101.3,25,10,14,,
73,5,6,386.135,36338.148,22.9,3.8,101.9,36,10,15,,
73,5,7,399.141,36737.289,22.4,3.8,105.5,42,9,16,,
73,5,8,357.464,37094.754,24.4,3.1,113.7,70,,,,
73,6,1,340.048,365.212,23.1,3.5,97.9,20,3.5,10,105,81.83
73,6,2,363.09,728.302,25,3.5,102.9,20,8.5,12,,
73,6,3,357.974,1086.276,24.6,3.7,96.8,25,11,14,,
73,6,4,354.807,1441.083,25.6,3.4,104.4,27,8,14,,
73,6,5,345.266,1786.349,18.5,3.3,105.2,25,10,14,,
73,6,6,347.979,2134.328,22.8,3.7,94.5,30,8.5,15,,
73,6,7,259.257,2393.585,22.1,2.4,109.6,90,,,,
73,7,1,391.387,25659.484,24.1,3.9,101.2,20,1,10,111,97.91
73,7,2,394.965,26054.447,22.6,3.4,115.9,25,6,11,,
73,7,3,382.971,26437.42,24,3.7,104.2,30,8.5,14,,
73,7,4,395.007,26832.428,24.5,3.6,109.5,25,9.5,15,,
73,7,5,404.281,27236.707,22.5,3.6,112.2,30,8.5,15,,
73,7,6,394.041,27630.748,22.6,3.5,112.2,30,10,16,,
73,7,7,419.423,28050.172,23.8,3.7,112.2,60,9,15,,
73,7,8,437.275,28487.447,24.5,3.4,128.5,50,9,16,,
