,Time,1,2,3,4
S/N,,720479,720479,720479,720479
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception #2,Light Interception #2,Light Interception #2,Light Interception #2
Property,,Maximum Temperature,Temperature,Maximum Humidity,Humidity
536,2014-07-23 17:10:30,40.282 °C,40.242 °C,30.1 %RH,30.1 %RH
537,2014-07-23 17:11:00,40.248 °C,40.210 °C,30.8 %RH,30.6 %RH
538,2014-07-23 17:11:30,40.206 °C,40.170 °C,31.0 %RH,31.0 %RH
539,2014-07-23 17:12:00,40.173 °C,40.127 °C,31.3 %RH,31.0 %RH
540,2014-07-23 17:12:30,40.128 °C,40.092 °C,31.0 %RH,30.8 %RH
541,2014-07-23 17:13:00,40.087 °C,40.041 °C,31.0 %RH,31.0 %RH
542,2014-07-23 17:13:30,40.054 °C,40.018 °C,31.7 %RH,31.7 %RH
543,2014-07-23 17:14:00,40.018 °C,39.982 °C,31.7 %RH,31.5 %RH
544,2014-07-23 17:14:30,39.982 °C,39.948 °C,31.7 %RH,31.7 %RH
545,2014-07-23 17:15:00,39.948 °C,39.912 °C,31.9 %RH,31.9 %RH
546,2014-07-23 17:15:30,39.913 °C,39.879 °C,32.2 %RH,32.2 %RH
547,2014-07-23 17:16:00,39.879 °C,39.846 °C,32.4 %RH,32.4 %RH
548,2014-07-23 17:16:30,39.848 °C,39.815 °C,32.6 %RH,32.6 %RH
549,2014-07-23 17:17:00,39.814 °C,39.786 °C,32.9 %RH,32.6 %RH
550,2014-07-23 17:17:30,39.786 °C,39.759 °C,33.4 %RH,33.1 %RH
551,2014-07-23 17:18:00,39.757 °C,39.728 °C,33.4 %RH,33.4 %RH
552,2014-07-23 17:18:30,39.728 °C,39.699 °C,33.6 %RH,33.6 %RH
553,2014-07-23 17:19:00,39.697 °C,39.673 °C,33.6 %RH,33.6 %RH
554,2014-07-23 17:19:30,39.671 °C,39.646 °C,33.9 %RH,33.9 %RH
555,2014-07-23 17:20:00,39.646 °C,39.617 °C,33.9 %RH,33.9 %RH
556,2014-07-23 17:20:30,39.617 °C,39.591 °C,33.9 %RH,33.9 %RH
557,2014-07-23 17:21:00,39.591 °C,39.567 °C,34.1 %RH,34.1 %RH
558,2014-07-23 17:21:30,39.567 °C,39.536 °C,34.1 %RH,33.4 %RH
559,2014-07-23 17:22:00,39.538 °C,39.441 °C,33.4 %RH,24.1 %RH
560,2014-07-23 17:22:30,39.429 °C,39.182 °C,25.5 %RH,25.2 %RH
561,2014-07-23 17:23:00,39.177 °C,38.883 °C,25.9 %RH,25.5 %RH
562,2014-07-23 17:23:30,38.873 °C,38.568 °C,26.6 %RH,26.6 %RH
563,2014-07-23 17:24:00,38.556 °C,38.235 °C,27.6 %RH,27.1 %RH
564,2014-07-23 17:24:30,38.227 °C,37.909 °C,27.1 %RH,26.9 %RH
565,2014-07-23 17:25:00,37.898 °C,37.581 °C,27.6 %RH,27.6 %RH
566,2014-07-23 17:25:30,37.576 °C,37.273 °C,27.6 %RH,26.9 %RH
567,2014-07-23 17:26:00,37.267 °C,36.975 °C,28.5 %RH,28.5 %RH
568,2014-07-23 17:26:30,36.965 °C,36.699 °C,28.9 %RH,28.5 %RH
