,Time,1,2,3,4
S/N,,720479,720479,720479,720479
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception #2,Light Interception #2,Light Interception #2,Light Interception #2
Property,,Maximum Temperature,Temperature,Maximum Humidity,Humidity
192,2014-07-22 14:13:27,35.946 °C,35.920 °C,48.1 %RH,47.3 %RH
193,2014-07-22 14:13:57,35.920 °C,35.894 °C,47.1 %RH,46.6 %RH
194,2014-07-22 14:14:27,35.892 °C,35.853 °C,47.8 %RH,47.8 %RH
195,2014-07-22 14:14:57,35.853 °C,35.811 °C,49.4 %RH,48.6 %RH
196,2014-07-22 14:15:27,35.810 °C,35.782 °C,48.6 %RH,47.1 %RH
197,2014-07-22 14:15:57,35.782 °C,35.738 °C,46.8 %RH,46.6 %RH
198,2014-07-22 14:16:27,35.738 °C,35.692 °C,47.1 %RH,47.1 %RH
199,2014-07-22 14:16:57,35.693 °C,35.653 °C,52.2 %RH,52.2 %RH
200,2014-07-22 14:17:27,35.661 °C,35.656 °C,60.7 %RH,53.2 %RH
201,2014-07-22 14:17:57,35.669 °C,35.669 °C,55.0 %RH,53.4 %RH
202,2014-07-22 14:18:27,35.695 °C,35.695 °C,53.2 %RH,50.9 %RH
203,2014-07-22 14:18:57,35.730 °C,35.730 °C,50.9 %RH,50.1 %RH
204,2014-07-22 14:19:27,35.764 °C,35.764 °C,54.5 %RH,54.5 %RH
205,2014-07-22 14:19:57,35.810 °C,35.810 °C,54.5 %RH,49.1 %RH
206,2014-07-22 14:20:27,35.842 °C,35.839 °C,51.2 %RH,51.2 %RH
207,2014-07-22 14:20:57,35.865 °C,35.865 °C,51.2 %RH,47.8 %RH
208,2014-07-22 14:21:27,35.886 °C,35.886 °C,48.6 %RH,48.6 %RH
209,2014-07-22 14:21:57,35.909 °C,35.905 °C,49.1 %RH,49.1 %RH
210,2014-07-22 14:22:27,35.928 °C,35.928 °C,51.9 %RH,51.4 %RH
211,2014-07-22 14:22:57,35.933 °C,35.928 °C,58.3 %RH,55.2 %RH
212,2014-07-22 14:23:27,35.938 °C,35.936 °C,55.2 %RH,50.1 %RH
213,2014-07-22 14:23:57,35.949 °C,35.946 °C,54.7 %RH,54.7 %RH
214,2014-07-22 14:24:27,35.977 °C,35.975 °C,54.5 %RH,51.7 %RH
215,2014-07-22 14:24:57,35.990 °C,35.990 °C,53.7 %RH,53.7 %RH
216,2014-07-22 14:25:27,36.011 °C,36.009 °C,55.0 %RH,50.6 %RH
217,2014-07-22 14:25:57,36.051 °C,36.046 °C,52.7 %RH,52.7 %RH
218,2014-07-22 14:26:27,36.085 °C,36.084 °C,53.2 %RH,53.2 %RH
219,2014-07-22 14:26:57,36.134 °C,36.131 °C,55.5 %RH,52.4 %RH
220,2014-07-22 14:27:27,36.170 °C,36.170 °C,52.4 %RH,49.9 %RH
221,2014-07-22 14:27:57,36.175 °C,36.170 °C,49.9 %RH,47.8 %RH
222,2014-07-22 14:28:27,36.175 °C,36.164 °C,48.3 %RH,47.6 %RH
223,2014-07-22 14:28:57,36.175 °C,36.175 °C,47.8 %RH,47.8 %RH
224,2014-07-22 14:29:27,36.227 °C,36.227 °C,48.9 %RH,48.1 %RH
225,2014-07-22 14:29:57,36.281 °C,36.281 °C,49.1 %RH,46.6 %RH
226,2014-07-22 14:30:27,36.318 °C,36.318 °C,47.8 %RH,47.1 %RH
227,2014-07-22 14:30:57,36.370 °C,36.369 °C,47.1 %RH,45.8 %RH
228,2014-07-22 14:31:27,36.432 °C,36.419 °C,46.8 %RH,46.3 %RH
229,2014-07-22 14:31:57,36.472 °C,36.465 °C,48.1 %RH,46.6 %RH
230,2014-07-22 14:32:27,36.501 °C,36.501 °C,47.1 %RH,46.6 %RH
231,2014-07-22 14:32:57,36.553 °C,36.547 °C,48.1 %RH,46.3 %RH
232,2014-07-22 14:33:27,36.624 °C,36.621 °C,46.8 %RH,46.8 %RH
233,2014-07-22 14:33:57,36.688 °C,36.681 °C,47.1 %RH,47.1 %RH
234,2014-07-22 14:34:27,36.739 °C,36.739 °C,51.9 %RH,48.9 %RH
235,2014-07-22 14:34:57,36.793 °C,36.789 °C,48.9 %RH,46.3 %RH
236,2014-07-22 14:35:27,36.852 °C,36.852 °C,47.3 %RH,46.6 %RH
237,2014-07-22 14:35:57,36.896 °C,36.896 °C,47.6 %RH,47.6 %RH
238,2014-07-22 14:36:27,36.945 °C,36.945 °C,48.6 %RH,48.6 %RH
239,2014-07-22 14:36:57,37.000 °C,37.000 °C,48.3 %RH,44.8 %RH
240,2014-07-22 14:37:27,37.079 °C,37.079 °C,45.5 %RH,44.3 %RH
241,2014-07-22 14:37:57,37.176 °C,37.176 °C,44.3 %RH,43.8 %RH
242,2014-07-22 14:38:27,37.272 °C,37.272 °C,44.6 %RH,44.6 %RH
243,2014-07-22 14:38:57,37.356 °C,37.356 °C,44.6 %RH,43.3 %RH
244,2014-07-22 14:39:27,37.431 °C,37.431 °C,43.6 %RH,43.1 %RH
245,2014-07-22 14:39:57,37.482 °C,37.482 °C,43.6 %RH,43.3 %RH
246,2014-07-22 14:40:27,37.538 °C,37.538 °C,43.3 %RH,43.1 %RH
247,2014-07-22 14:40:57,37.603 °C,37.603 °C,46.8 %RH,45.5 %RH
248,2014-07-22 14:41:27,37.650 °C,37.650 °C,46.3 %RH,45.8 %RH
249,2014-07-22 14:41:57,37.704 °C,37.704 °C,45.8 %RH,45.8 %RH
250,2014-07-22 14:42:27,37.759 °C,37.758 °C,48.3 %RH,48.3 %RH
251,2014-07-22 14:42:57,37.801 °C,37.801 °C,48.1 %RH,43.6 %RH
252,2014-07-22 14:43:27,37.856 °C,37.856 °C,44.1 %RH,43.3 %RH
253,2014-07-22 14:43:57,37.908 °C,37.901 °C,46.1 %RH,45.3 %RH
254,2014-07-22 14:44:27,37.949 °C,37.949 °C,46.3 %RH,45.3 %RH
255,2014-07-22 14:44:57,37.994 °C,37.994 °C,45.5 %RH,41.1 %RH
256,2014-07-22 14:45:27,38.008 °C,38.006 °C,46.3 %RH,45.5 %RH
257,2014-07-22 14:45:57,38.008 °C,37.989 °C,45.3 %RH,43.8 %RH
258,2014-07-22 14:46:27,37.989 °C,37.978 °C,45.8 %RH,44.6 %RH
