,Time,1,2,3,4,5,6
S/N,,720319,720319,720319,720319,720319,720319
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001
Property,,Maximum Temperature,Temperature,Minimum Temperature,Maximum Humidity,Humidity,Minimum Humidity
900,2014-07-24 17:46:16,41.161 °C,41.118 °C,41.116 °C,29.7 %RH,29.7 %RH,29.2 %RH
901,2014-07-24 17:46:46,41.116 °C,41.077 °C,41.077 °C,29.9 %RH,29.9 %RH,29.4 %RH
902,2014-07-24 17:47:16,41.077 °C,41.041 °C,41.041 °C,30.1 %RH,30.1 %RH,29.9 %RH
903,2014-07-24 17:47:46,41.037 °C,41.002 °C,41.002 °C,30.6 %RH,30.6 %RH,30.1 %RH
904,2014-07-24 17:48:16,41.000 °C,40.967 °C,40.967 °C,30.8 %RH,30.6 %RH,30.3 %RH
905,2014-07-24 17:48:46,40.965 °C,40.932 °C,40.932 °C,31.0 %RH,31.0 %RH,30.8 %RH
906,2014-07-24 17:49:16,40.934 °C,40.908 °C,40.908 °C,31.3 %RH,31.3 %RH,30.8 %RH
907,2014-07-24 17:49:46,40.906 °C,40.883 °C,40.883 °C,31.3 %RH,31.3 %RH,31.0 %RH
908,2014-07-24 17:50:16,40.883 °C,40.852 °C,40.852 °C,31.3 %RH,31.3 %RH,31.3 %RH
909,2014-07-24 17:50:46,40.857 °C,40.834 °C,40.833 °C,31.5 %RH,31.5 %RH,31.3 %RH
910,2014-07-24 17:51:16,40.834 °C,40.805 °C,40.805 °C,31.5 %RH,31.3 %RH,31.3 %RH
911,2014-07-24 17:51:46,40.808 °C,40.784 °C,40.784 °C,31.3 %RH,31.3 %RH,31.3 %RH
912,2014-07-24 17:52:16,40.782 °C,40.759 °C,40.758 °C,31.3 %RH,31.3 %RH,31.3 %RH
913,2014-07-24 17:52:46,40.758 °C,40.732 °C,40.730 °C,31.5 %RH,31.5 %RH,31.3 %RH
914,2014-07-24 17:53:16,40.730 °C,40.705 °C,40.705 °C,31.5 %RH,31.5 %RH,31.3 %RH
915,2014-07-24 17:53:46,40.702 °C,40.671 °C,40.671 °C,31.5 %RH,31.3 %RH,31.3 %RH
916,2014-07-24 17:54:16,40.676 °C,40.645 °C,40.643 °C,31.3 %RH,31.3 %RH,31.3 %RH
917,2014-07-24 17:54:46,40.643 °C,40.612 °C,40.612 °C,31.3 %RH,31.3 %RH,31.3 %RH
918,2014-07-24 17:55:16,40.610 °C,40.580 °C,40.580 °C,31.3 %RH,31.3 %RH,31.3 %RH
919,2014-07-24 17:55:46,40.577 °C,40.546 °C,40.542 °C,31.3 %RH,31.3 %RH,31.3 %RH
920,2014-07-24 17:56:16,40.540 °C,40.509 °C,40.509 °C,31.3 %RH,31.3 %RH,31.3 %RH
921,2014-07-24 17:56:46,40.509 °C,40.471 °C,40.469 °C,31.3 %RH,31.3 %RH,31.3 %RH
922,2014-07-24 17:57:16,40.467 °C,40.433 °C,40.433 °C,31.3 %RH,31.3 %RH,31.3 %RH
923,2014-07-24 17:57:46,40.431 °C,40.395 °C,40.395 °C,31.3 %RH,31.3 %RH,31.3 %RH
924,2014-07-24 17:58:16,40.391 °C,40.351 °C,40.351 °C,31.3 %RH,31.3 %RH,31.0 %RH
925,2014-07-24 17:58:46,40.351 °C,40.312 °C,40.312 °C,31.3 %RH,31.0 %RH,31.0 %RH
926,2014-07-24 17:59:16,40.310 °C,40.268 °C,40.268 °C,31.3 %RH,31.3 %RH,31.0 %RH
927,2014-07-24 17:59:46,40.267 °C,40.225 °C,40.225 °C,31.3 %RH,31.3 %RH,31.3 %RH
928,2014-07-24 18:00:16,40.225 °C,40.182 °C,40.182 °C,31.3 %RH,31.3 %RH,31.3 %RH
929,2014-07-24 18:00:46,40.178 °C,40.134 °C,40.134 °C,31.3 %RH,31.0 %RH,31.0 %RH
930,2014-07-24 18:01:16,40.134 °C,40.091 °C,40.091 °C,31.0 %RH,31.0 %RH,31.0 %RH
931,2014-07-24 18:01:46,40.089 °C,40.046 °C,40.044 °C,31.0 %RH,31.0 %RH,31.0 %RH
932,2014-07-24 18:02:16,40.044 °C,39.996 °C,39.994 °C,31.0 %RH,31.0 %RH,30.8 %RH
933,2014-07-24 18:02:46,39.998 °C,39.946 °C,39.946 °C,31.0 %RH,31.0 %RH,31.0 %RH
934,2014-07-24 18:03:16,39.944 °C,39.894 °C,39.894 °C,31.0 %RH,31.0 %RH,31.0 %RH
